Fecha,Día de la semana,Km,Tipo de Sesión,Notas
3/8/2026,Lunes,,,
4/8/2026,Martes,4,Rodaje Base,4 km suaves
5/8/2026,Miércoles,,,
6/8/2026,Jueves,5,Rodaje Base,5 km suaves
7/8/2026,Viernes,,Fuerza,Full
8/8/2026,Sábado,7,Rodaje Base,7 km suaves
9/8/2026,Domingo,7,Tirada Larga,6-8 km suaves
10/8/2026,Lunes,,,
11/8/2026,Martes,5,Rodaje Base,5 km suaves
12/8/2026,Miércoles,,,
13/8/2026,Jueves,4,Rodaje Base,4 km suaves
14/8/2026,Viernes,,Fuerza,Full
15/8/2026,Sábado,4,Rodaje Base,4 km suaves
16/8/2026,Domingo,8,Tirada Larga,8 km progresión
17/8/2026,Lunes,,,
18/8/2026,Martes,6,Rodaje Base,6 km suaves
19/8/2026,Miércoles,,,
20/8/2026,Jueves,5,Rodaje Base,5 km suaves
21/8/2026,Viernes,,Fuerza,Full
22/8/2026,Sábado,4,Rodaje Base,4 km suaves
23/8/2026,Domingo,10,Tirada Larga,10 km suaves
24/8/2026,Lunes,,,
25/8/2026,Martes,6,Rodaje Base,6 km suaves
26/8/2026,Miércoles,,,
27/8/2026,Jueves,6,Rodaje Base,6 km (con 5 rectas)
28/8/2026,Viernes,,Fuerza,Full
29/8/2026,Sábado,4,Rodaje Base,4 km suaves
30/8/2026,Domingo,12,Tirada Larga,12 km suaves
31/8/2026,Lunes,,,
